percentchange,open,low,relvolume,high,price,symbol,watchers,hourchange,sentiment
0.6968,165.8,165.54,0.6395,168.16,167.63,AAPL,878187,8,5.32
-2.1363,31.1,31.0828,0.4343,31.52,31.15,INTC,131281,0,0.99
0.9901,4.95,4.92,0.3154,5.17,5.1,AMC,413183,2,-1.19
-0.5006,480.46,476.2,0.4242,482.7909,477.07,NOC,8043,0,6.06
0.9542,273.61,272.32,0.6812,280.0,279.31,NVDA,421923,5,4.27
1.955,101.58,101.39,0.8364,105.12,104.3,AMZN,588751,6,2.51
0.1782,88.51,88.22,0.5543,90.54,89.94,AMD,456906,10,0.69
-0.3062,103.58,103.07,0.4564,104.98,104.18,GOOGL,160559,1,-0.07
-1.1426,126.5,125.3,0.9493,126.98,126.32,IBM,51434,25,3.39
-1.0051,213.472,212.94,0.4728,217.33,215.7,META,512956,0,3.28
-0.1273,141.23,140.4,0.5763,141.5,141.22,JPM,82990,1,-0.34
-0.6665,128.58,128.075,0.3668,128.9,128.18,EA,20704,-1,10.0
-0.3724,91.0,90.73,0.5063,91.12,90.97,SONY,2087,0,0.0
1.6722,5.9,5.87,0.4953,6.1,6.08,SOFI,91973,10,1.25
-2.0183,179.1,177.65,0.6315,183.5,180.59,TSLA,892069,70,0.78
0.0277,285.99,284.54,0.4744,289.05,288.45,MSFT,443656,9,6.56
-1.9318,8.6,8.295,0.2952,8.8426,8.63,CVNA,23284,0,-2.91
-1.5798,225.06,222.3,0.5032,228.49,224.27,ENPH,37475,0,-0.31
